date,debt
2015-05-03,39
2015-05-10,38
2015-05-17,37
2015-05-24,34
2015-05-31,37
2015-06-07,37
2015-06-14,39
2015-06-21,38
2015-06-28,56
2015-07-05,55
2015-07-12,44
2015-07-19,41
2015-07-26,39
2015-08-02,40
2015-08-09,41
2015-08-16,38
2015-08-23,40
2015-08-30,38
2015-09-06,39
2015-09-13,43
2015-09-20,42
2015-09-27,42
2015-10-04,44
2015-10-11,44
2015-10-18,45
2015-10-25,48
2015-11-01,46
2015-11-08,43
2015-11-15,42
2015-11-22,30
2015-11-29,43
2015-12-06,41
2015-12-13,39
2015-12-20,28
2015-12-27,31
2016-01-03,41
2016-01-10,46
2016-01-17,44
2016-01-24,47
2016-01-31,51
2016-02-07,51
2016-02-14,100
2016-02-21,63
2016-02-28,52
2016-03-06,49
2016-03-13,46
2016-03-20,44
2016-03-27,44
2016-04-03,49
2016-04-10,51
2016-04-17,48
2016-04-24,51
2016-05-01,50
2016-05-08,50
2016-05-15,45
2016-05-22,40
2016-05-29,36
2016-06-05,50
2016-06-12,38
2016-06-19,41
2016-06-26,40
2016-07-03,38
2016-07-10,39
2016-07-17,44
2016-07-24,47
2016-07-31,41
2016-08-07,38
2016-08-14,38
2016-08-21,39
2016-08-28,39
2016-09-04,39
2016-09-11,43
2016-09-18,43
2016-09-25,50
2016-10-02,45
2016-10-09,47
2016-10-16,53
2016-10-23,47
2016-10-30,46
2016-11-06,55
2016-11-13,49
2016-11-20,36
2016-11-27,48
2016-12-04,48
2016-12-11,43
2016-12-18,33
2016-12-25,32
2017-01-01,41
2017-01-08,47
2017-01-15,54
2017-01-22,55
2017-01-29,51
2017-02-05,46
2017-02-12,46
2017-02-19,54
2017-02-26,57
2017-03-05,48
2017-03-12,48
2017-03-19,46
2017-03-26,47
2017-04-02,47
2017-04-09,45
2017-04-16,47
2017-04-23,49
2017-04-30,47
2017-05-07,44
2017-05-14,40
2017-05-21,39
2017-05-28,39
2017-06-04,39
2017-06-11,38
2017-06-18,38
2017-06-25,39
2017-07-02,39
2017-07-09,41
2017-07-16,42
2017-07-23,42
2017-07-30,46
2017-08-06,42
2017-08-13,40
2017-08-20,41
2017-08-27,41
2017-09-03,45
2017-09-10,44
2017-09-17,46
2017-09-24,49
2017-10-01,46
2017-10-08,46
2017-10-15,47
2017-10-22,44
2017-10-29,45
2017-11-05,44
2017-11-12,45
2017-11-19,33
2017-11-26,48
2017-12-03,47
2017-12-10,44
2017-12-17,42
2017-12-24,33
2017-12-31,39
2018-01-07,44
2018-01-14,42
2018-01-21,48
2018-01-28,48
2018-02-04,51
2018-02-11,49
2018-02-18,48
2018-02-25,49
2018-03-04,46
2018-03-11,45
2018-03-18,48
2018-03-25,44
2018-04-01,46
2018-04-08,49
2018-04-15,49
2018-04-22,48
2018-04-29,47
2018-05-06,43
2018-05-13,39
2018-05-20,41
2018-05-27,39
2018-06-03,41
2018-06-10,42
2018-06-17,39
2018-06-24,42
2018-07-01,37
2018-07-08,42
2018-07-15,42
2018-07-22,43
2018-07-29,44
2018-08-05,43
2018-08-12,41
2018-08-19,42
2018-08-26,40
2018-09-02,40
2018-09-09,47
2018-09-16,47
2018-09-23,46
2018-09-30,46
2018-10-07,47
2018-10-14,51
2018-10-21,49
2018-10-28,47
2018-11-04,46
2018-11-11,46
2018-11-18,34
2018-11-25,46
2018-12-02,49
2018-12-09,47
2018-12-16,40
2018-12-23,34
2018-12-30,44
2019-01-06,51
2019-01-13,51
2019-01-20,51
2019-01-27,49
2019-02-03,50
2019-02-10,59
2019-02-17,52
2019-02-24,51
2019-03-03,51
2019-03-10,48
2019-03-17,46
2019-03-24,46
2019-03-31,45
2019-04-07,49
2019-04-14,47
2019-04-21,52
2019-04-28,48
2019-05-05,45
2019-05-12,44
2019-05-19,43
2019-05-26,41
